onset	duration	condition
12	18	3
30	18	4
48	18	1
66	18	2
96	18	4
114	18	1
132	18	2
150	18	3
180	18	2
198	18	3
216	18	1
234	18	4
264	18	2
282	18	4
300	18	3
318	18	1

